report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,credit_cards,6.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_atm_withdrawal_val,11349738.78,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_atm_withdrawal_vol,1971716.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_ecom_txn_val,245797.36306,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_ecom_txn_vol,54808.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_pos_txn_val,783800.8975100004,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_pos_txn_vol,183351.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_pos_withdrawal_val,6.5,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,dc_pos_withdrawal_vol,11.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,debit_cards,6587003.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,micro_atms,0.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,pos_terminals,71275.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,upi_qr,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,atm_offsite,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,atm_onsite,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_ecom_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_ecom_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_pos_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,cc_pos_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,credit_cards,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_atm_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_ecom_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_ecom_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_pos_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_pos_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,debit_cards,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,micro_atms,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,pos_terminals,0.0,count,provisional
2025-10-31,BANK OF AMERICA,Foreign Banks,bank,upi_qr,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,atm_offsite,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,atm_onsite,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_ecom_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_ecom_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_pos_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,cc_pos_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,credit_cards,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_atm_withdrawal_val,7480.76,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_atm_withdrawal_vol,1471.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_ecom_txn_val,4.5873,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_ecom_txn_vol,7.0,transactions,provisional
